"Accession identifer","Simple name",Material,Provenance,Period,"Donated by","Dimensions (mm)","Paper data available (NEWMA objects)","MMH pic?","Extra info"
"NEWMA : 1956.91.A.1",Axehead,Stone,"Chevington Moor",Neolithic,,"113 x 63 x 20",,,"Discovered in 1848, found when making a railway cutting. Weight 9.5 ozs."
"NEWMA : 1933.23","Axehead or adze",Stone,"Shetland Isles",,"Mr. & Mrs. W. Hardcastle, Newcastle","312 x 76 x 35","PSAN ref",,
"NEWMA : 1852.6","Axeheads x 3",Stone,"Shetland Isles",Neolithic,"Dr. E. Charlton",,"Article sections (unknown name/author) x 2 / AA ref",,
"NEWMA : 1852.6.1",Axehead,Stone,"Shetland Isles",Neolithic,"Dr. E. Charlton",,,,
"NEWMA : 1852.6","Polished Axeheads x 2",Stone,"Shetland Isles",Neolithic,"Dr. E. Charlton",,"Article sections (unknown name/author) x 2 / AA ref",,
"NEWMA : 1899.8",Axehead,"Stone: rhyolite","Shetland Isles",,"Mr. L. Johnston, Newcastle","230 x 70 x 35 ",,,"Weight: 1 lb 9oz.  Syenite or Spherulitic rhyolite"
"NEWMA : 1844.17",Axehead,"Stone: felsite","River Shannon, Ireland",Neolithic,"Mr H. Glynn or Mr. J. Hymers","124 x 73 x 32 or 117 x 69 x 32","AA ref",,"Fine grained grey-green felsite?"
"NEWMA : 1844.18",Axehead,"Stone: dolerite","River Shannon, Ireland",Neolithic,"Mr H. Glynn or Mr. J. Hymers","102 x 68 x 35 or 102 x 64 x 32","AA ref",,"Fine grained grey-green, poss. dolerite?  Butt and cutting edge damaged"
"NEWMA : 1844.19",Axehead,"Stone: clay slate","River Shannon, Ireland",Neolithic,"Mr H. Glynn or Mr. J. Hymers","137 x 54 x 25 or 140 x 51 ","AA ref",,"Grey green clay slate"
"NEWMA : 1956.104.A","Axehead x 7",Stone,Denmark,"No accession card info",,,,,
"NEWMA : 1931.47",Axe?,Stone,Foreign?,,"The  Pease family",,,,
"NEWMA : 1972.24.5",Axehead,Stone,"Cap du Nord",Neolithic,"Mrs. W. Percy Hedley","L: 80, W: 60","Copy of donation bequest & reply from Hancock Museum",,
"NEWMA : 1937.1",Axe,"Stone: black basalt",Egypt,,"W. Percy Hedley","203 x 57",,,"Adze according to accesion card"
"NEWMA : 1937.2",Axe,Stone,Egypt,,"W. Percy Hedley","155.5 x 67",,,
"NEWMA : 1923.28.1-6",Axeheads,Stone,Denmark,Neolithic,"Beneficiaries of late R. Blair",,"PSAN ref",,
"NEWMA : 1949.4",Axe,"Stone: limestone",Bellingham,,"Mr. J. Todd, Bellingham","85 x 41 x 19",,,
"NEWMA : 1932.76",Axe,"Stone: quartz dolerite",Felton,Neolithic,"M. R. Robson, Swarland (lent by)","136 x 69 x 38","PSAN ref",,
"NEWMA : 1906.1",Axehead,"Stone: spherulitic rhyolite","Shetland Isles",,"Mr. T. L. Johnson, Elswick","235 x 70 x 37",,,"Weight: 2lbs 10oz.  Greenstone ""spherulitic rhyolite"".  The one-sided configuration of this implement points to its being a hoe/primitive ploughshare.  May have been used for such purpose up to quite recent times."
"NEWMA : 1983.1","Axes x 2 ",Stone,Unknown,Neolithic,"G. Jobey",,,,
"NEWMA : 1983.9",Axe,Stone,"Haydon Bridge",Neolithic,"John Gibson per G. Jobey",,"Donor letter / AA article",,"Found when corn inspecting 1956."
"NEWMA : 1964.11","Grooved Axehead",Stone,Unknown,,"Mr. R.K. England c/o Buckinghamshire or Newcastle (lent by)",,,,
"NEWHM : HANM.5.2429","Axehead x 7",Stone,"Bauchi Plateau, Nigeria",,,,,,"Labels on axes claim ""Lent by Soc. of Antiquaries, 1938"""
"NEWHM : HANM.3380","Polished axehead",Stone,Unknown,,,,,,"Label on axe says ""J.D.Scott Esq., 29.8.94"" (prob. 1894)"
"NEWHM : ARPH 0039","Polished axeheads x 2","Stone: yellow flint",Denmark,,,,,,"Collected by J. Taylor, 1906"
"NEWHM : Z198",Axehead,Stone,"North America",,,"150 x 100",,,"Label on axe claims ""lent by Soc. of Ant 1938"".  Collected by Seton-Karr"
"NEWHM : A154",Axehead,Stone,Africa,,"Julia Boyd",,,,
"NEWHM : HANM.5.2444",Axehead,,"Nr. St. Briene, France",,"Executors of Julia Boyd",,,,"Bought in Normandy by E.F. Boyd and Julia Boyd, June 1882."
"NEWHM : Z207","Polished axehead",Stone,"North America",,"Society of Antiquaries (on loan from)",,,,
"NEWHM : Z213","Polished axehead",Stone,"North America",,"Society of Antiquaries (on loan from)",,,,
"NEWHM : ARAM 010",Axehead,,"Nicoya Peninsula, Costa Rica","13th century+","G.E.S. McQueen",,,,
"NEWHM : ARAM 011",Axehead,,"Nicoya Peninsula, Costa Rica","13th century+","G.E.S. McQueen",,,,
"NEWHM : ARPH 0061","Polished axehead/celt",,"North Nigeria",,,,,,"Label claims ""Made by aboriginal tribes still showing development only to early Iron Age stage""."
"NEWHM : ARPH 0063","Axehead/ Celt",,Ireland,,,,,,
"NEWHM : ARPH 0023","Axeheads x 2","Stone: yellow flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : ARPH 0026",Axehead,"Stone: yellow flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : Z219","Polished axehead",Stone,,,,,,,
"NEWHM : Z218",Axe,"Stone: hornblende schist",,,,,,,
"NEWHM : AREGYPT 372","Axes x 2",,Fayoum,Neolithic,,,,,"Excavated by Caton Thompson and Gardner 1926."
"TWCMS : H4940","Flint axehead",,,,,,,,
"TWCMS : H4941","Flint axehead",,,,,,,,
"TWCMS : H4943","Flint axehead",,,,,,,,
"TWCMS : H4944","Flint axehead",,,,,,,,
"TWCMS : H4945","Flint axehead",,,,,,,,
"TWCMS : H4946","Flint axehead",,,,,,,,
"TWCMS : H4948","Flint axehead",,,,,,,,
"TWCMS : H4949","Flint axehead",,,,,,,,
"TWCMS : H6403","Flint axehead",,,,,,,,
"TWCMS : H6405","Flint axehead",,,,,,,,
"TWCMS : H6411","Flint axehead",,Scotland,,,,,,
"TWCMS : H6410","Flint axehead",,,,,,,,
"TWCMS : H4937","Flint axehead",,,,,,,,
"TWCMS : H4938","Flint axehead",,,,,,,,
"TWCMS : H6413",Axe,,,,,,,,
"TWCMS : H6409","Flint axehead",,,,,,,,
"TWCMS : H6408","Flint axehead",,,,,,,,
"TWCMS : H6401","Flint axehead",,,,,,,,
"TWCMS : H6422","Flint axehead",,,,,,,,
"TWCMS : H6503","Basalt axe",,,,,,,,
"TWCMS : M4202","Flint axehead",,,,,,,,
"TWCMS : M4201","Neolithic axe",,,,,,,,
"TWCMS : H6448","Flint axehead",,,,,,,,
"NEWMA : 1933.19","Flat axe",,Wark,,"Mr. F.R.B. Wilkinson, Windy Nook (loaned by)","128 x 72 x 12","PSAN ref / label",,"Found in a stream, 1918. NY 84507667"
"NEWMA : 1932.47","Flat axe",,"Ewart Park",,"Mr. G. G. Butler, Ewart Park","130 x 80 x 5","PSAN ref / label",,
"NEWMA : 1952.4","Flat axe",Bronze,Stargate,,"Purchased for £4 from finder, Mr. Callender, Prudhoe","135 x 67 x 8",Label,,"Found in a sand quarry.  Has a rudimentary stop ridge."
"NEWMA : 1990.1","Flat axe",Bronze,Newbiggin,"Bronze age","G. Clements, Newbiggin",,"Aquisition form",,"Found on beach, apparently fallen from adjacent land that was disturbed during the building of a bungalow."
"NEWMA : 1932.28","Flat axe",Bronze,Morpeth,,"Miss Woodman, Morpeth","160 x 87 x 8","PSAN ref / label",,"Apparently been cleaned with a corse file"
"NEWMA : 1962.11","Copper flat axehead",Copper,"Cumbernauld, Dumbartonsh.",Chalcolithic,"Mr. David Cassidy, Wallsend",,"AA ref / original AA / metallurgy report",,"Found in garden in Dumbarton."
"NEWMA : 1981.4","Flat axe",,"Stagshaw bank","Early bronze age","K.R.A. Stuart, Darlington",,"NEMS conservation report / MMH copy",,"NGR: NY 9868"
"NEWMA : 1852.101","Flat axe",,Ireland,,,,"Curatorial notes",,
"NEWMA : 1852.101","Flat axe",,Ireland,,,,"Curatorial notes",,
"NEWMA : 1852.101","Flat axe",,Ireland,,,,"Curatorial notes",,
"NEWMA : 1956.152","Flat axe",Bronze,Ireland,,,,,,
"NEWMA : 1977.9.3","Flat axe",,Ireland,"Neolithic/ early-middle Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,"Handwritten notes",,
"NEWMA : 1972.27","Flat axe",Bronze/copper,Unknown,"Early bronze age","Mrs. W. Percy Hedley","L: 95, W: 65-40","Copy of donation bequest & reply from Hancock Museum",,
"NEWMA : 1904.1",Axe,,Unknown,"No accession card available",,,,,
"NEWMA : 1947.4.2",Palstave,Bronze,"Haydon Bridge",,"J.D. Cowen, from Miss. Walker, Hexham","146 x 44.5 x 27",,,"Discovered 1835/6, found when constructing the Newcastle-Carlisle railway.  NGR: railway line goes from NY 82926409- NY 84946438"
"NEWMA : 1925.1.3",Palstave,Bronze,Elsdon,,"Stephens Collection","150 x 68 x 30","PSAN refs x 2",,"Note strongly marked line of mould joint, only partly removed"
"NEWMA : 1958.4",Palstave,Bronze,Alston,,"Mrs. R. J. Allen, Newcastle","165 x 57 x 38",,,"Associated with 1958.2.  A rejected casting, probably intended for re-melting."
"NEWMA : 1852.101","Palstave axes x 3",,Ireland,,"Duke of Northumberland",,"Curatorial notes",,
"NEWMA : 1852.101","Palstave axes x 3",,Ireland,,"Duke of Northumberland",,"Curatorial notes",,
"NEWMA : 1967.12","Wallington hoard palstaves x 8",,Wallington,"Late bronze age","Executors of the estate of the late Mary, Lady Trevelyan, Wallington (loaned by)",,"Condition report (C Daniels, 1965) / Orig. news cutting / correspondence / metal analysis report 1966 / packets with drill samples?",,"Found in stream in Middleton Moss, Prior Hill Farm, 14/5/1879"
"NEWMA : 1855.2","Half-flanged axe",Bronze,Chollerton,,"Messrs. Lister and sons","160 x 52 x 30","Photo from Evans / labels",,"Found in North Tyne."
"NEWMA : 1931.49","Flanged axe",Bronze,Branshaw,"Bronze age","Mr. Howard Pease, Otterburn Tower","164 x 55 x 42","Psan refs x 2",,"Flanges are unusually large, scarce trace of stop ridges.  Found in Jan 1886 when the drains were opened up about 40 cm on ground near shepherd's house."
"NEWMA : 1886.14","Winged flanged axe",,"Halton Chesters","Middle-later bronze age","Mrs. Ellerington, Corbridge","133 x 42 x 35","PSAN ref / NCH ref",,
"NEWMA : 1932.48","Winged flanged axe",,"Ewart Park",,"Mr. G. G. Butler, Ewart Park","142 x 60 x 42","PSAN ref / label",,
"NEWMA : 1814.2","Flanged axe",,Yorkshire(?),,"Mr. Jas Hawthorne ","133 x 80 x 27",,,"(originally bought from a collection of scrap metal in Northallerton)"
"TWCMS : H6443","Bronze flanged axe","Bronze ",,,,,,,
"NEWMA : 1928.127","Socketed axe",Bronze,Allendale,,"W. Parker Brewis","76 x 44.5 x 35","PSAN ref",,"Analysis: Cu 90%, Sn 9.4% Pb 0.68%"
"NEWMA : 1932.85","Socketed axe (fitted to replica haft)",Bronze,Hexham,"Bronze age","Mr. J. Kirsopp, Hexham","70 x 45 x 35","PSAN refs x 2 / label",,
"NEWMA : 1929.8","Socketed axe ",Bronze,"Unthank Hall",,"Mr. Dixon Brown","90 x 45 x 38","PSAN ref / Label",,
"NEWMA : 1929.9","Socketed axe ",Bronze,"Unthank Hall",,"Mr. Dixon Brown","80 x 42 x 33","PSAN ref / Label",,
"NEWMA : 1929.1","Socketed axe ",Bronze,"Unthank Hall",,"Mr. Dixon Brown","96 x 54 x 27","PSAN ref / Label",,
"NEWMA : 1934.27","Socketed axe",Bronze,"Swarland Mill",,"Mr. A. R. Robson, Swarland","89 x 47 x 38","PSAN ref",,"Found in Swarland burn near Swarland Mill."
"NEWHM : 2006.18.1722","Socketed axes x 6",,Berwick,"Late bronze age","Mr. J. Minns",,,,"Found 2005  using metal detector"
"NEWMA : 1932.5","Socketed Axehead",,"(?) locality of Ewart Park",,"Mr. G. G. Butler, Ewart Park","57 x 41 x 28.5","PSAN ref",,
"NEWMA : 1946.1","Socketed axe",Bronze,"Martfield, Belford",,"Belford Auction Mart Ltd, per Mr. J. Davidson","85 x 48 x 40",Label,,"Decoration suggests import from Ireland or made by travelling Irish founder.  Found 1944."
"NEWMA : 1947.4.1","Socketed axe",Bronze,"Haydon Bridge",,"J.D. Cowen, from Miss. Walker, Hexham","146 x 44.5 x 27",Label,,"Discovered 1835/6, found when constructing the Newcastle-Carlisle railway.  NGR: railway line goes from NY 82926409- NY 84946438"
"NEWMA : 1958.3","Socketed axe",Bronze,"Alston, Cumbria",,"Mrs. R. J. Allen, Newcastle","102 x 60 x 38",,,"Incomplete. Associated with 1958.2"
"NEWMA : 1852.7","Socketed Axehead",Bronze,"Hesleyside, near Bellingham, Northumberland","Late bronze age","Dr. E. Charlton","83 x 54 x 38","AA ref / label",,
"NEWMA : 1852.9","Socketed Axehead",Bronze,"Britanny/Paris ?",,"Rev. W. Featherstonhaugh",,"AA ref / MMH drawing",,
"NEWMA : 1929.68","Socketed Axehead",Bronze,"(?) Forcett near, Darlington. 7 miles w.s.w, Stanwick, Yorks",,"T. J. Bell","117 x 51 x 44.5","PSAN refs x 3 / label",,"Purchased in Darlington, probably from a hoard at Fawcett."
"NEWMA : 1944.1","Socketed axe",Bronze,"Broomwood Camp, Edlingham",,"Miss. Bolam, Alston","76 x 49 x 27.5",Label,,"Discovered in 1885.  Been cleaned.  Found in turf and stone wall around campsite."
"NEWMA : 1899.12","Socketed axe head",Bronze,"River Tyne at Newburn",,"Mr. G. Forster, Lemington","93 x 60 x 40",Label,,"NGR: NZ 168649.  Found in River Tyne."
